Datetime,PPO,DQN,EW,BH
2025-11-21 16:00:00,-0.009506762243896988,-0.009506762243896988,-0.014834999476987342,-0.014895353046496508
2025-11-21 16:30:00,-0.009564912810422857,-0.009564912810422857,-0.00924406258224079,-0.009304391421919807
2025-11-21 17:00:00,-0.0109089545319361,-0.0109089545319361,-0.010980564350758167,-0.01103777993234279
2025-11-21 17:30:00,-0.010236665145361541,-0.010236665145361541,-0.010742479584176212,-0.010800668754938089
2025-11-21 18:00:00,-0.008970757467947822,-0.008970757467947822,-0.012320992613963584,-0.0123803470641757
2025-11-21 18:30:00,-0.009957880975337969,-0.009957880975337969,-0.008829383286071808,-0.008883849338002334
2025-11-21 19:00:00,-0.009341124043608354,-0.009341124043608354,-0.006417515884745979,-0.006470695017584753
2025-11-21 19:30:00,-0.008278619036457251,-0.008278619036457251,-0.008440462716481016,-0.008496372800721769
2025-11-21 20:00:00,-0.008388128101244624,-0.008388128101244624,-0.011091627993960547,-0.011146271526343919
2025-11-21 20:30:00,-0.007887418351678999,-0.007887418351678999,-0.011999122525077928,-0.012055045561816028
2025-11-24 14:30:00,-0.0030941832977451145,-0.0030941832977451145,-0.004437460746540774,-0.004486898412610144
2025-11-24 15:00:00,-0.003817296364828047,-0.003817296364828047,-0.0031030556541111684,-0.0031520990546719477
2025-11-24 15:30:00,-0.003872909446874293,-0.003872909446874293,-0.002100628485637656,-0.0021492860418402173
2025-11-24 16:00:00,-0.0038172963443890316,-0.0038172963443890316,-0.0006594341649576033,-0.000706156013672589
2025-11-24 16:30:00,-0.0037037873152446555,-0.0037037873152446555,-0.0007255689486540531,-0.0007736930986415376
2025-11-24 17:00:00,-0.00242721022877462,-0.00242721022877462,-1.4638002257574747e-05,-6.094762075648441e-05
2025-11-24 17:30:00,-0.002261638474278005,-0.002261638474278005,0.0006784439309622495,0.0006332996302406809
2025-11-24 18:00:00,-0.002316063026568112,-0.002316063026568112,0.0009909371389972843,0.0009454666735653962
2025-11-24 18:30:00,-0.0017606817316574064,-0.0017606817316574064,0.0026512755958345213,0.002600987676720079
2025-11-24 19:00:00,-0.0016496085926466497,-0.0016496085926466497,0.002546622315011985,0.002496515956736998
2025-11-24 19:30:00,-0.002038376197985851,-0.002038376197985851,0.002000329427880262,0.0019496889610678583
2025-11-24 20:00:00,-0.00259391176414543,-0.00259391176414543,0.0027548304449441425,0.0027035605809259304
2025-11-24 20:30:00,-0.0023160630087243348,-0.0023160630087243348,0.0032509297876711076,0.0031981285422638664
2025-11-25 14:30:00,0.002782302911722416,0.002782302911722416,0.0029337537548283165,0.002880831057831344
2025-11-25 15:00:00,0.0027823029094754125,0.0027823029094754125,0.002682800876521521,0.0026285595370377337
2025-11-25 15:30:00,0.0013994446385676962,0.0013994446385676962,0.0027874854860156432,0.0027355254859550526
